DiseaseID,DiseaseName,DiseaseDescription,SlimMapping,PathwayNames
MESH:D054990,Idiopathic Pulmonary Fibrosis,"A common interstitial lung disease of unknown etiology, usually occurring between 50-70 years of age. Clinically, it is characterized by an insidious onset of breathlessness with exertion and a nonproductive cough, leading to progressive DYSPNEA. Pathological features show scant interstitial inflammation, patchy collagen fibrosis, prominent fibroblast proliferation foci, and microscopic honeycomb change.",['Respiratory tract disease'],Wnt signaling pathway
MESH:D017098,IgA Deficiency,A dysgammaglobulinemia characterized by a deficiency of IMMUNOGLOBULIN A.,"['Blood disease', 'Immune system disease']",Ub-specific processing proteases
MESH:D011695,IgA Vasculitis,"A systemic non-thrombocytopenic purpura caused by HYPERSENSITIVITY VASCULITIS and deposition of IGA-containing IMMUNE COMPLEXES within the blood vessels throughout the body, including those in the kidney (KIDNEY GLOMERULUS). Clinical symptoms include URTICARIA; ERYTHEMA; ARTHRITIS; GASTROINTESTINAL HEMORRHAGE; and renal involvement. Most cases are seen in children after acute upper respiratory infections.","['Blood disease', 'Cardiovascular disease', 'Immune system disease', 'Pathology (process)', 'Signs and symptoms', 'Skin disease']",Viral carcinogenesis
MESH:D007079,Ileitis,Inflammation of any segment of the ILEUM and the ILEOCECAL VALVE.,['Digestive system disease'],Tuberculosis
MESH:D007105,Immune Complex Diseases,"Group of diseases mediated by the deposition of large soluble complexes of antigen and antibody with resultant damage to tissue. Besides SERUM SICKNESS and the ARTHUS REACTION, evidence supports a pathogenic role for immune complexes in many other IMMUNE SYSTEM DISEASES including GLOMERULONEPHRITIS, systemic lupus erythematosus (LUPUS ERYTHEMATOSUS, SYSTEMIC) and POLYARTERITIS NODOSA.",['Immune system disease'],Type I diabetes mellitus
MESH:D007154,Immune System Diseases,"Disorders caused by abnormal or absent immunologic mechanisms, whether humoral, cell-mediated, or both.",['Immune system disease'],Urea cycle
MESH:D007119,Immunoblastic Lymphadenopathy,"A disorder characterized by proliferation of arborizing small vessels, prominent immunoblastic proliferations and amorphous acidophilic interstitial material. Clinical manifestations include fever, sweats, weight loss, generalized lymphadenopathy and frequently hepatosplenomegaly.","['Immune system disease', 'Lymphatic disease']",Wnt signaling pathway
MESH:D007153,Immunologic Deficiency Syndromes,"Syndromes in which there is a deficiency or defect in the mechanisms of immunity, either cellular or humoral.",['Immune system disease'],Viral carcinogenesis
MESH:D007177,Inappropriate ADH Syndrome,"A condition of HYPONATREMIA and renal salt loss attributed to overexpansion of BODY FLUIDS resulting from sustained release of ANTIDIURETIC HORMONES which stimulates renal resorption of water. It is characterized by normal KIDNEY function, high urine OSMOLALITY, low serum osmolality, and neurological dysfunction. Etiologies include ADH-producing neoplasms, injuries or diseases involving the HYPOTHALAMUS, the PITUITARY GLAND, and the LUNG. This syndrome can also be drug-induced.","['Endocrine system disease', 'Metabolic disease', 'Nervous system disease']",Vesicle-mediated transport
MESH:D066088,Infant Death,The death of a live-born INFANT within its first year of life.,['Pathology (process)'],TRP channels
MESH:D007232,"Infant, Newborn, Diseases","Diseases of newborn infants present at birth (congenital) or developing within the first month of birth. It does not include hereditary diseases not manifesting at birth or within the first 30 days of life nor does it include inborn errors of metabolism. Both HEREDITARY DISEASES and METABOLISM, INBORN ERRORS are available as general concepts.",['Infant-newborn disease'],UCH proteinases
MESH:D007235,"Infant, Premature, Diseases",Diseases that occur in PREMATURE INFANTS.,['Infant-newborn disease'],Renin secretion
MESH:D007238,Infarction,"Formation of an infarct, which is NECROSIS in tissue due to local ISCHEMIA resulting from obstruction of BLOOD CIRCULATION, most commonly by a THROMBUS or EMBOLUS.",['Pathology (process)'],Signaling by Interleukins
MESH:D020244,"Infarction, Middle Cerebral Artery","NECROSIS occurring in the MIDDLE CEREBRAL ARTERY distribution system which brings blood to the entire lateral aspects of each CEREBRAL HEMISPHERE. Clinical signs include impaired cognition; APHASIA; AGRAPHIA; weak and numbness in the face and arms, contralaterally or bilaterally depending on the infarction.","['Cardiovascular disease', 'Nervous system disease', 'Pathology (process)']",ZBP1(DAI) mediated induction of type I IFNs
MESH:D007247,"Infertility, Female",Diminished or absent ability of a female to achieve conception.,['Urogenital disease (female)'],YAP1- and WWTR1 (TAZ)-stimulated gene expression
MESH:D007248,"Infertility, Male",The inability of the male to effect FERTILIZATION of an OVUM after a specified period of unprotected intercourse. Male sterility is permanent infertility.,['Urogenital disease (male)'],Xenobiotics
MESH:D007249,Inflammation,"A pathological process characterized by injury or destruction of tissues caused by a variety of cytologic and chemical reactions. It is usually manifested by typical signs of pain, heat, redness, swelling, and loss of function.",['Pathology (process)'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D015212,Inflammatory Bowel Diseases,"Chronic, non-specific inflammation of the GASTROINTESTINAL TRACT. Etiology may be genetic or environmental. This term includes CROHN DISEASE and ULCERATIVE COLITIS.",['Digestive system disease'],Wnt signaling pathway
MESH:D058922,Inflammatory Breast Neoplasms,Metastatic breast cancer characterized by EDEMA and ERYTHEMA of the affected breast due to LYMPHATIC METASTASIS and eventual obstruction of LYMPHATIC VESSELS by the cancer cells.,"['Cancer', 'Skin disease']",Unfolded Protein Response (UPR)
MESH:D007251,"Influenza, Human","An acute viral infection in humans involving the respiratory tract. It is marked by inflammation of the NASAL MUCOSA; the PHARYNX; and conjunctiva, and by headache and severe, often generalized, myalgia.","['Respiratory tract disease', 'Viral disease']",Viral myocarditis
MESH:D007340,Insulinoma,A benign tumor of the PANCREATIC BETA CELLS. Insulinoma secretes excess INSULIN resulting in HYPOGLYCEMIA.,"['Cancer', 'Digestive system disease', 'Endocrine system disease']",Transcriptional misregulation in cancer
MESH:D007333,Insulin Resistance,Diminished effectiveness of INSULIN in lowering blood sugar levels: requiring the use of 200 units or more of insulin per day to prevent HYPERGLYCEMIA or KETOSIS.,['Metabolic disease'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D008607,Intellectual Disability,"Subnormal intellectual functioning which originates during the developmental period. This has multiple potential etiologies, including genetic defects and perinatal insults. Intelligence quotient (IQ) scores are commonly used to determine whether an individual has an intellectual disability. IQ scores between 70 and 79 are in the borderline range. Scores below 67 are in the disabled range. (from Joynt, Clinical Neurology, 1992, Ch55, p28)","['Mental disorder', 'Nervous system disease', 'Signs and symptoms']",Wnt signaling pathway
MESH:D055959,Intervertebral Disc Degeneration,"Degenerative changes in the INTERVERTEBRAL DISC due to aging or structural damage, especially to the vertebral end-plates.",['Musculoskeletal disease'],Vesicle-mediated transport
MESH:D007405,Intervertebral Disc Displacement,An INTERVERTEBRAL DISC in which the NUCLEUS PULPOSUS has protruded through surrounding ANNULUS FIBROSUS. This occurs most frequently in the lower lumbar region.,"['Musculoskeletal disease', 'Pathology (anatomical condition)']",Protein digestion and absorption
MESH:D007410,Intestinal Diseases,Pathological processes in any segment of the INTESTINE from DUODENUM to RECTUM.,['Digestive system disease'],Vasopressin regulates renal water homeostasis via Aquaporins
MESH:D007414,Intestinal Neoplasms,Tumors or cancer of the INTESTINES.,"['Cancer', 'Digestive system disease']",Wnt signaling pathway
MESH:D007415,Intestinal Obstruction,"Any impairment, arrest, or reversal of the normal flow of INTESTINAL CONTENTS toward the ANAL CANAL.",['Digestive system disease'],Transport of inorganic cations/anions and amino acids/oligopeptides
MESH:D007416,Intestinal Perforation,Opening or penetration through the wall of the INTESTINES.,['Digestive system disease'],VEGF signaling pathway
MESH:D044483,Intestinal Polyposis,"The growth of INTESTINAL POLYPS. Growth processes include neoplastic (ADENOMA and CARCINOMA) and non-neoplastic (hyperplastic, mucosal, inflammatory, and other polyps).",['Digestive system disease'],Transcriptional Regulation by TP53
MESH:D007417,Intestinal Polyps,"Discrete abnormal tissue masses that protrude into the lumen of the INTESTINE. A polyp is attached to the intestinal wall either by a stalk, pedunculus, or by a broad base.",['Pathology (anatomical condition)'],Wnt signaling pathway
MESH:D002532,Intracranial Aneurysm,"Abnormal outpouching in the wall of intracranial blood vessels. Most common are the saccular (berry) aneurysms located at branch points in CIRCLE OF WILLIS at the base of the brain. Vessel rupture results in SUBARACHNOID HEMORRHAGE or INTRACRANIAL HEMORRHAGES. Giant aneurysms (>2.5 cm in diameter) may compress adjacent structures, including the OCULOMOTOR NERVE. (From Adams et al., Principles of Neurology, 6th ed, p841)","['Cardiovascular disease', 'Nervous system disease']",VEGFA-VEGFR2 Pathway
MESH:D002538,Intracranial Arteriovenous Malformations,Congenital vascular anomalies in the brain characterized by direct communication between an artery and a vein without passing through the CAPILLARIES. The locations and size of the shunts determine the symptoms including HEADACHES; SEIZURES; STROKE; INTRACRANIAL HEMORRHAGES; mass effect; and vascular steal effect.,"['Cardiovascular disease', 'Congenital abnormality', 'Nervous system disease']",Viral carcinogenesis
MESH:D002542,Intracranial Embolism and Thrombosis,Embolism or thrombosis involving blood vessels which supply intracranial structures. Emboli may originate from extracranial or intracranial sources. Thrombosis may occur in arterial or venous structures.,"['Cardiovascular disease', 'Nervous system disease']",Transcriptional misregulation in cancer
MESH:D020300,Intracranial Hemorrhages,"Bleeding within the SKULL, including hemorrhages in the brain and the three membranes of MENINGES. The escape of blood often leads to the formation of HEMATOMA in the cranial epidural, subdural, and subarachnoid spaces.","['Cardiovascular disease', 'Nervous system disease', 'Pathology (process)']",Vitamin digestion and absorption
MESH:D020198,"Intracranial Hemorrhage, Traumatic","Bleeding within the SKULL induced by penetrating and nonpenetrating traumatic injuries, including hemorrhages into the tissues of CEREBRUM; BRAIN STEM; and CEREBELLUM; as well as into the epidural, subdural and subarachnoid spaces of the MENINGES.","['Cardiovascular disease', 'Nervous system disease', 'Wounds and injuries']",Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus
MESH:D019586,Intracranial Hypertension,"Increased pressure within the cranial vault. This may result from several conditions, including HYDROCEPHALUS; BRAIN EDEMA; intracranial masses; severe systemic HYPERTENSION; PSEUDOTUMOR CEREBRI; and other disorders.",['Nervous system disease'],Transport of inorganic cations/anions and amino acids/oligopeptides
MESH:D020767,Intracranial Thrombosis,Formation or presence of a blood clot (THROMBUS) in a blood vessel within the SKULL. Intracranial thrombosis can lead to thrombotic occlusions and BRAIN INFARCTION. The majority of the thrombotic occlusions are associated with ATHEROSCLEROSIS.,"['Cardiovascular disease', 'Nervous system disease']",VEGFR2 mediated cell proliferation
MESH:D019189,Iron Metabolism Disorders,"Disorders in the processing of iron in the body: its absorption, transport, storage, and utilization. (From Mosby's Medical, Nursing, & Allied Health Dictionary, 4th ed)",['Metabolic disease'],Vesicle-mediated transport
MESH:D019190,Iron Overload,"An excessive accumulation of iron in the body due to a greater than normal absorption of iron from the gastrointestinal tract or from parenteral injection. This may arise from idiopathic hemochromatosis, excessive iron intake, chronic alcoholism, certain types of refractory anemia, or transfusional hemosiderosis. (From Churchill's Illustrated Medical Dictionary, 1989)",['Metabolic disease'],Vesicle-mediated transport
MESH:D043183,Irritable Bowel Syndrome,"A disorder with chronic or recurrent colonic symptoms without a clearcut etiology. This condition is characterized by chronic or recurrent ABDOMINAL PAIN, bloating, MUCUS in FECES, and an erratic disturbance of DEFECATION.",['Digestive system disease'],Tuberculosis
MESH:D007511,Ischemia,"A hypoperfusion of the BLOOD through an organ or tissue caused by a PATHOLOGIC CONSTRICTION or obstruction of its BLOOD VESSELS, or an absence of BLOOD CIRCULATION.",['Pathology (process)'],Wnt signaling pathway
MESH:D002546,"Ischemic Attack, Transient","Brief reversible episodes of focal, nonconvulsive ischemic dysfunction of the brain having a duration of less than 24 hours, and usually less than one hour, caused by transient thrombotic or embolic blood vessel occlusion or stenosis. Events may be classified by arterial distribution, temporal pattern, or etiology (e.g., embolic vs. thrombotic). (From Adams et al., Principles of Neurology, 6th ed, pp814-6)","['Cardiovascular disease', 'Nervous system disease']",Viral myocarditis
MESH:D007567,"Jaundice, Neonatal","Yellow discoloration of the SKIN; MUCOUS MEMBRANE; and SCLERA in the NEWBORN. It is a sign of NEONATAL HYPERBILIRUBINEMIA. Most cases are transient self-limiting (PHYSIOLOGICAL NEONATAL JAUNDICE) occurring in the first week of life, but some can be a sign of pathological disorders, particularly LIVER DISEASES.","['Infant-newborn disease', 'Pathology (process)']",Nuclear Receptor transcription pathway
MESH:D041781,"Jaundice, Obstructive","Jaundice, the condition with yellowish staining of the skin and mucous membranes, that is due to impaired BILE flow in the BILIARY TRACT, such as INTRAHEPATIC CHOLESTASIS, or EXTRAHEPATIC CHOLESTASIS.","['Pathology (process)', 'Signs and symptoms']",Transmembrane transport of small molecules
MESH:D007569,Jaw Abnormalities,Congenital absence of or defects in structures of the jaw.,"['Congenital abnormality', 'Mouth disease', 'Musculoskeletal disease']",Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template
MESH:D007589,Job Syndrome,"Primary immunodeficiency syndrome characterized by recurrent infections and hyperimmunoglobulinemia E. Most cases are sporadic. Of the rare familial forms, the dominantly inherited subtype has additional connective tissue, dental and skeletal involvement that the recessive type does not share.","['Blood disease', 'Genetic disease (inborn)', 'Immune system disease']",Viral carcinogenesis
MESH:D007592,Joint Diseases,Diseases involving the JOINTS.,['Musculoskeletal disease'],Response of Mtb to phagocytosis
MESH:D007619,Kartagener Syndrome,"An autosomal recessive disorder characterized by a triad of DEXTROCARDIA; INFERTILITY; and SINUSITIS. The syndrome is caused by mutations of DYNEIN genes encoding motility proteins which are components of sperm tails, and CILIA in the respiratory and the reproductive tracts.","['Cardiovascular disease', 'Congenital abnormality', 'Ear-nose-throat disease', 'Genetic disease (inborn)', 'Respiratory tract disease']",Huntington's disease
MESH:D007627,Keloid,"A sharply elevated, irregularly shaped, progressively enlarging scar resulting from formation of excessive amounts of collagen in the dermis during connective tissue repair. It is differentiated from a hypertrophic scar (CICATRIX, HYPERTROPHIC) in that the former does not spread to surrounding tissues.","['Connective tissue disease', 'Pathology (process)']",XBP1(S) activates chaperone genes
MESH:D007634,Keratitis,Inflammation of the cornea.,['Eye disease'],Vesicle-mediated transport
MESH:D007645,"Keratoderma, Palmoplantar",Group of mostly hereditary disorders characterized by thickening of the palms and soles as a result of excessive keratin formation leading to hypertrophy of the stratum corneum (hyperkeratosis).,"['Genetic disease (inborn)', 'Skin disease']",Vesicle-mediated transport
MESH:D007642,Keratosis,Any horny growth such as a wart or callus.,['Skin disease'],Xenobiotics
MESH:D017492,"Keratosis, Seborrheic","Benign eccrine poromas that present as multiple oval, brown-to-black plaques, located mostly on the chest and back. The age of onset is usually in the fourth or fifth decade.",['Skin disease'],Viral carcinogenesis
MESH:D007647,Kernicterus,"A term used pathologically to describe BILIRUBIN staining of the BASAL GANGLIA; BRAIN STEM; and CEREBELLUM and clinically to describe a syndrome associated with HYPERBILIRUBINEMIA. Clinical features include athetosis, MUSCLE SPASTICITY or hypotonia, impaired vertical gaze, and DEAFNESS. Nonconjugated bilirubin enters the brain and acts as a neurotoxin, often in association with conditions that impair the BLOOD-BRAIN BARRIER (e.g., SEPSIS). This condition occurs primarily in neonates (INFANT, NEWBORN), but may rarely occur in adults. (Menkes, Textbook of Child Neurology, 5th ed, p613)","['Blood disease', 'Immune system disease', 'Infant-newborn disease', 'Metabolic disease', 'Nervous system disease', 'Pathology (process)']",Steroid hormone biosynthesis
MESH:D007669,Kidney Calculi,"Stones in the KIDNEY, usually formed in the urine-collecting area of the kidney (KIDNEY PELVIS). Their sizes vary and most contains CALCIUM OXALATE.","['Pathology (anatomical condition)', 'Urogenital disease (female)', 'Urogenital disease (male)']",Tryptophan metabolism
MESH:D007674,Kidney Diseases,Pathological processes of the KIDNEY or its component tissues.,"['Urogenital disease (female)', 'Urogenital disease (male)']",YAP1- and WWTR1 (TAZ)-stimulated gene expression
MESH:D052177,"Kidney Diseases, Cystic","A heterogeneous group of hereditary and acquired disorders in which the KIDNEY contains one or more CYSTS unilaterally or bilaterally (KIDNEY, CYSTIC).","['Urogenital disease (female)', 'Urogenital disease (male)']",Vesicle-mediated transport
MESH:D007676,"Kidney Failure, Chronic","The end-stage of CHRONIC RENAL INSUFFICIENCY. It is characterized by the severe irreversible kidney damage (as measured by the level of PROTEINURIA) and the reduction in GLOMERULAR FILTRATION RATE to less than 15 ml per min (Kidney Foundation: Kidney Disease Outcome Quality Initiative, 2002). These patients generally require HEMODIALYSIS or KIDNEY TRANSPLANTATION.","['Pathology (process)', 'Urogenital disease (female)', 'Urogenital disease (male)']",ZBP1(DAI) mediated induction of type I IFNs
MESH:D007680,Kidney Neoplasms,Tumors or cancers of the KIDNEY.,"['Cancer', 'Urogenital disease (female)', 'Urogenital disease (male)']",Xenobiotics
MESH:D007683,"Kidney Tubular Necrosis, Acute",Acute kidney failure resulting from destruction of EPITHELIAL CELLS of the KIDNEY TUBULES. It is commonly attributed to exposure to toxic agents or renal ISCHEMIA following severe TRAUMA.,"['Urogenital disease (female)', 'Urogenital disease (male)']",YAP1- and WWTR1 (TAZ)-stimulated gene expression
MESH:D007738,Kyphosis,Deformities of the SPINE characterized by an exaggerated convexity of the vertebral column. The forward bending of the thoracic region usually is more than 40 degrees. This deformity sometimes is called round back or hunchback.,['Musculoskeletal disease'],Transport of inorganic cations/anions and amino acids/oligopeptides
MESH:D007805,Language Development Disorders,"Conditions characterized by language abilities (comprehension and expression of speech and writing) that are below the expected level for a given age, generally in the absence of an intellectual impairment. These conditions may be associated with DEAFNESS; BRAIN DISEASES; MENTAL DISORDERS; or environmental factors.","['Nervous system disease', 'Signs and symptoms']",Voltage gated Potassium channels
MESH:D007806,Language Disorders,Conditions characterized by deficiencies of comprehension or expression of written and spoken forms of language. These include acquired and developmental disorders.,"['Nervous system disease', 'Signs and symptoms']",Signal Transduction
MESH:D007822,Laryngeal Neoplasms,Cancers or tumors of the LARYNX or any of its parts: the GLOTTIS; EPIGLOTTIS; LARYNGEAL CARTILAGES; LARYNGEAL MUSCLES; and VOCAL CORDS.,"['Cancer', 'Ear-nose-throat disease', 'Respiratory tract disease']",Tyrosine metabolism
MESH:D007835,Lassa Fever,An acute febrile human disease caused by the LASSA VIRUS.,['Viral disease'],Viral myocarditis
MESH:D014854,Lateral Medullary Syndrome,"INFARCTION of the dorsolateral aspect of MEDULLA OBLONGATA in the BRAIN STEM. It is caused by occlusion of the VERTEBRAL ARTERY and/or the posterior inferior cerebellar artery. Clinical manifestations vary with the size of infarction, but may include loss of pain and temperature sensation in the ipsilateral face and contralateral body below the chin; ipsilateral HORNER SYNDROME; ipsilateral ATAXIA; DYSARTHRIA; VERTIGO; nausea, hiccup; dysphagia; and VOCAL CORD PARALYSIS. (From Adams et al., Principles of Neurology, 6th ed, p801)","['Cardiovascular disease', 'Nervous system disease', 'Pathology (process)']",Signal Transduction
MESH:D007859,Learning Disabilities,"Conditions characterized by a significant discrepancy between an individual's perceived level of intellect and their ability to acquire new language and other cognitive skills. These may result from organic or psychological conditions. Relatively common subtypes include DYSLEXIA, DYSCALCULIA, and DYSGRAPHIA.","['Mental disorder', 'Nervous system disease', 'Signs and symptoms']",ZBP1(DAI) mediated induction of type I IFNs
MESH:D007889,Leiomyoma,"A benign tumor derived from smooth muscle tissue, also known as a fibroid tumor. They rarely occur outside of the UTERUS and the GASTROINTESTINAL TRACT but can occur in the SKIN and SUBCUTANEOUS TISSUE, probably arising from the smooth muscle of small blood vessels in these tissues.",['Cancer'],Wnt signaling pathway
MESH:D007890,Leiomyosarcoma,"A sarcoma containing large spindle cells of smooth muscle. Although it rarely occurs in soft tissue, it is common in the viscera. It is the most common soft tissue sarcoma of the gastrointestinal tract and uterus. The median age of patients is 60 years. (From Dorland, 27th ed; Holland et al., Cancer Medicine, 3d ed, p1865)",['Cancer'],Vpr-mediated nuclear import of PICs
MESH:D007896,Leishmaniasis,"A disease caused by any of a number of species of protozoa in the genus LEISHMANIA. There are four major clinical types of this infection: cutaneous (Old and New World) (LEISHMANIASIS, CUTANEOUS), diffuse cutaneous (LEISHMANIASIS, DIFFUSE CUTANEOUS), mucocutaneous (LEISHMANIASIS, MUCOCUTANEOUS), and visceral (LEISHMANIASIS, VISCERAL).","['Parasitic disease', 'Skin disease']",Urea cycle
MESH:D016773,"Leishmaniasis, Cutaneous","An endemic disease that is characterized by the development of single or multiple localized lesions on exposed areas of skin that typically ulcerate. The disease has been divided into Old and New World forms. Old World leishmaniasis is separated into three distinct types according to epidemiology and clinical manifestations and is caused by species of the L. tropica and L. aethiopica complexes as well as by species of the L. major genus. New World leishmaniasis, also called American leishmaniasis, occurs in South and Central America and is caused by species of the L. mexicana or L. braziliensis complexes.","['Parasitic disease', 'Skin disease']",Unfolded Protein Response (UPR)
MESH:D007897,"Leishmaniasis, Mucocutaneous","A disease characterized by the chronic, progressive spread of lesions from New World cutaneous leishmaniasis caused by species of the L. braziliensis complex to the nasal, pharyngeal, and buccal mucosa some time after the appearance of the initial cutaneous lesion. Nasal obstruction and epistaxis are frequent presenting symptoms.","['Parasitic disease', 'Skin disease']",Type I diabetes mellitus
MESH:D007898,"Leishmaniasis, Visceral","A chronic disease caused by LEISHMANIA DONOVANI and transmitted by the bite of several sandflies of the genera Phlebotomus and Lutzomyia. It is commonly characterized by fever, chills, vomiting, anemia, hepatosplenomegaly, leukopenia, hypergammaglobulinemia, emaciation, and an earth-gray color of the skin. The disease is classified into three main types according to geographic distribution: Indian, Mediterranean (or infantile), and African.",['Parasitic disease'],Viral myocarditis
MESH:D007905,Lens Diseases,Diseases involving the CRYSTALLINE LENS.,['Eye disease'],Ub-specific processing proteases
MESH:D007918,Leprosy,"A chronic granulomatous infection caused by MYCOBACTERIUM LEPRAE. The granulomatous lesions are manifested in the skin, the mucous membranes, and the peripheral nerves. Two polar or principal types are lepromatous and tuberculoid.",['Bacterial infection or mycosis'],Vesicle-mediated transport
MESH:D053609,Lethargy,"A general state of sluggishness, listless, or uninterested, with being tired, and having difficulty concentrating and doing simple tasks. It may be related to DEPRESSION or DRUG ADDICTION.","['Nervous system disease', 'Signs and symptoms']","Valine, leucine and isoleucine degradation"
MESH:D007938,Leukemia,"A progressive, malignant disease of the blood-forming organs, characterized by distorted proliferation and development of leukocytes and their precursors in the blood and bone marrow. Leukemias were originally termed acute or chronic based on life expectancy but now are classified according to cellular maturity. Acute leukemias consist of predominately immature cells; chronic leukemias are composed of more mature cells. (From The Merck Manual, 2006)",['Cancer'],Wnt signaling pathway
MESH:D004915,"Leukemia, Erythroblastic, Acute",A myeloproliferative disorder characterized by neoplastic proliferation of erythroblastic and myeloblastic elements with atypical erythroblasts and myeloblasts in the peripheral blood.,"['Blood disease', 'Cancer']","Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP"
MESH:D007942,"Leukemia, Experimental","Leukemia induced experimentally in animals by exposure to leukemogenic agents, such as VIRUSES; RADIATION; or by TRANSPLANTATION of leukemic tissues.",['Cancer'],TRIF-mediated TLR3/TLR4 signaling
MESH:D007943,"Leukemia, Hairy Cell","A neoplastic disease of the lymphoreticular cells which is considered to be a rare type of chronic leukemia; it is characterized by an insidious onset, splenomegaly, anemia, granulocytopenia, thrombocytopenia, little or no lymphadenopathy, and the presence of 'hairy' or 'flagellated' cells in the blood and bone marrow.","['Cancer', 'Immune system disease', 'Lymphatic disease']",VEGF signaling pathway
MESH:D054066,"Leukemia, Large Granular Lymphocytic","A spectrum of disorders characterized by clonal expansions of the peripheral blood LYMPHOCYTE populations known as large granular lymphocytes which contain abundant cytoplasm and azurophilic granules. Subtypes develop from either CD3-negative NATURAL KILLER CELLS or CD3-positive T-CELLS. The clinical course of both subtypes can vary from spontaneous regression to progressive, malignant disease.","['Cancer', 'Immune system disease', 'Lymphatic disease']",Viral carcinogenesis
MESH:D015451,"Leukemia, Lymphocytic, Chronic, B-Cell",A chronic leukemia characterized by abnormal B-lymphocytes and often generalized lymphadenopathy. In patients presenting predominately with blood and bone marrow involvement it is called chronic lymphocytic leukemia (CLL); in those predominately with enlarged lymph nodes it is called small lymphocytic lymphoma. These terms represent spectrums of the same disease.,"['Cancer', 'Immune system disease', 'Lymphatic disease', 'Pathology (process)']",Wnt signaling pathway
MESH:D007945,"Leukemia, Lymphoid",Leukemia associated with HYPERPLASIA of the lymphoid tissues and increased numbers of circulating malignant LYMPHOCYTES and lymphoblasts.,"['Cancer', 'Immune system disease', 'Lymphatic disease']",Transcriptional misregulation in cancer
MESH:D015459,"Leukemia-Lymphoma, Adult T-Cell","Aggressive T-Cell malignancy with adult onset, caused by HUMAN T-LYMPHOTROPIC VIRUS 1. It is endemic in Japan, the Caribbean basin, Southeastern United States, Hawaii, and parts of Central and South America and sub-Saharan Africa.","['Cancer', 'Immune system disease', 'Lymphatic disease']",Wnt signaling pathway
MESH:D007948,"Leukemia, Monocytic, Acute","An acute myeloid leukemia in which 80% or more of the leukemic cells are of monocytic lineage including monoblasts, promonocytes, and MONOCYTES.",['Cancer'],Transcriptional misregulation in cancer
MESH:D015464,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive","Clonal hematopoetic disorder caused by an acquired genetic defect in PLURIPOTENT STEM CELLS. It starts in MYELOID CELLS of the bone marrow, invades the blood and then other organs. The condition progresses from a stable, more indolent, chronic phase (LEUKEMIA, MYELOID, CHRONIC PHASE) lasting up to 7 years, to an advanced phase composed of an accelerated phase (LEUKEMIA, MYELOID, ACCELERATED PHASE) and BLAST CRISIS.","['Blood disease', 'Cancer', 'Pathology (process)']",Viral myocarditis
MESH:D007951,"Leukemia, Myeloid",Form of leukemia characterized by an uncontrolled proliferation of the myeloid lineage and their precursors (MYELOID PROGENITOR CELLS) in the bone marrow and other sites.,['Cancer'],Viral carcinogenesis
MESH:D015470,"Leukemia, Myeloid, Acute","Clonal expansion of myeloid blasts in bone marrow, blood, and other tissue. Myeloid leukemias develop from changes in cells that normally produce NEUTROPHILS; BASOPHILS; EOSINOPHILS; and MONOCYTES.",['Cancer'],Wnt signaling pathway
MESH:D015479,"Leukemia, Myelomonocytic, Acute",A pediatric acute myeloid leukemia involving both myeloid and monocytoid precursors. At least 20% of non-erythroid cells are of monocytic origin.,['Cancer'],Vascular smooth muscle contraction
MESH:D054429,"Leukemia, Myelomonocytic, Juvenile","A leukemia affecting young children characterized by SPLENOMEGALY, enlarged lymph nodes, rashes, and hemorrhages. Traditionally classed as a myeloproliferative disease, it is now considered a mixed myeloproliferative-mylelodysplastic disorder.","['Blood disease', 'Cancer']",Wnt signaling pathway
MESH:D015461,"Leukemia, Prolymphocytic, T-Cell","A lymphoid leukemia characterized by a profound LYMPHOCYTOSIS with or without LYMPHADENOPATHY, hepatosplenomegaly, frequently rapid progression, and short survival. It was formerly called T-cell chronic lymphocytic leukemia.","['Cancer', 'Immune system disease', 'Lymphatic disease']",Viral carcinogenesis
MESH:D015473,"Leukemia, Promyelocytic, Acute",An acute myeloid leukemia in which abnormal PROMYELOCYTES predominate. It is frequently associated with DISSEMINATED INTRAVASCULAR COAGULATION.,['Cancer'],Viral myocarditis
MESH:D015458,"Leukemia, T-Cell","A malignant disease of the T-LYMPHOCYTES in the bone marrow, thymus, and/or blood.","['Cancer', 'Immune system disease', 'Lymphatic disease']",Viral carcinogenesis
MESH:D007960,Leukocyte Disorders,Disordered formation of various types of leukocytes or an abnormal accumulation or deficiency of these cells.,['Blood disease'],Viral myocarditis
MESH:D007964,Leukocytosis,A transient increase in the number of leukocytes in a body fluid.,"['Blood disease', 'Pathology (process)']",Wnt signaling pathway
MESH:D056784,Leukoencephalopathies,Any of various diseases affecting the white matter of the central nervous system.,['Nervous system disease'],Wnt signaling pathway
MESH:D007970,Leukopenia,A decrease in the number of LEUKOCYTES in a blood sample below the normal range (LEUKOCYTE COUNT less than 4000).,['Blood disease'],VEGFR2 mediated cell proliferation
